product,category_id,origin,format,price,quantity
Acelga,1,CARCAJE,Bolsa 250 Gr,3,10
Acelga Magenta,1,CARCAJE,Bolsa 200 Gr,4,10
Apio,1,CARCAJE,Bolsa 200 Gr,3,10
Cebollin Blanco,1,CARCAJE,Bolsa 200 Gr,3,10
Cilantro,1,CARCAJE,Bolsa 150 Gr,3,10
Espinaca,1,CARCAJE,Bolsa 300 Gr,3,10
Lacayote,1,CARCAJE,Unidad ,7,10
Kale,1,CARCAJE,Bolsa 200 Gr ,4,10
Papa Gourmet,1,RICA PAPA,Bolsa 1 Kg,7,10
Jugo de Frutilla,2,ION LIFE,2 L,5,15
Agua Alcalina,2,ION LIFE,2 L,5,15
Pastas de Quinua RealGluten Free,3,ANAPQUI La Paz,1 Kg,40,5
Pastas de Quinua RealGluten Free,3,ANAPQUI La Paz,Caja 240 Gr,12,5
Refresco de Quinua Real,3,ANAPQUI La Paz,Caja 100 Gr,9,5
Crema Facial Apicola,3,APAM,Frasco 100 Gr,50,5
Miel de Abeja Senorita,3,APAM,Frasco 30 cc,35,5
Polen de Abejas,3,APAM,100 Gr,25,5
Extracto de Propoleo,3,APAM,Frasco 30 cc,15,5
Granola Citrica,3,MESTIZA,125 Gr 250 Gr,5,5
Granola Clasica,3,MESTIZA,125 Gr 250 Gr,5,5
Te de Humus de Lombriz,4,COMUVA,1 Litro,6,6
Humus de Lombriz,4,COMUVA,10 L,20,6
Humus de Lombriz,4,COMUVA,20 L,35,6
