product,product_category,origin,format,price,quantity
Acelga,Fruits and Vegetables,CARCAJE,Bolsa 250 Gr,3,10
Acelga Magenta,Fruits and Vegetables,CARCAJE,Bolsa 200 Gr,4,10
Apio,Fruits and Vegetables,CARCAJE,Bolsa 200 Gr,3,10
Cebollin Blanco,Fruits and Vegetables,CARCAJE,Bolsa 200 Gr,3,10
Cilantro,Fruits and Vegetables,CARCAJE,Bolsa 150 Gr,3,10
Espinaca,Fruits and Vegetables,CARCAJE,Bolsa 300 Gr,3,10
Lacayote,Fruits and Vegetables,CARCAJE,Unidad ,7,10
Kale,Fruits and Vegetables,CARCAJE,Bolsa 200 Gr ,4,10
Papa Gourmet,Fruits and Vegetables,RICA PAPA,Bolsa 1 Kg,7,10
Jugo de Frutilla,Beverages,ION LIFE,2 L,5,15
Agua Alcalina,Beverages,ION LIFE,2 L,5,15
Pastas de Quinua RealGluten Free,Processed Goods,ANAPQUI La Paz,1 Kg,40,5
Pastas de Quinua RealGluten Free,Processed Goods,ANAPQUI La Paz,Caja 240 Gr,12,5
Refresco de Quinua Real,Processed Goods,ANAPQUI La Paz,Caja 100 Gr,9,5
Crema Facial Apicola,Processed Goods,APAM,Frasco 100 Gr,50,5
Miel de Abeja Senorita,Processed Goods,APAM,Frasco 30 cc,35,5
Polen de Abejas,Processed Goods,APAM,100 Gr,25,5
Extracto de Propoleo,Processed Goods,APAM,Frasco 30 cc,15,5
Granola Citrica,Processed Goods,MESTIZA,125 Gr 250 Gr,5,5
Granola Clasica,Processed Goods,MESTIZA,125 Gr 250 Gr,5,5
Te de Humus de Lombriz,Fertilizer,COMUVA,1 Litro,6,6
Humus de Lombriz,Fertilizer,COMUVA,10 L,20,6
Humus de Lombriz,Fertilizer,COMUVA,20 L,35,6
